timestamp,error_type,message,traceback
2026-03-24T12:18:34.458000,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:19:15.114321,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:19:41.073226,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:19:51.302335,ZeroDivisionError,division by zero,
2026-03-24T12:20:21.546958,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:20:47.405927,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:20:53.184491,ZeroDivisionError,division by zero,
2026-03-24T12:21:28.591869,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:21:53.832595,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:21:55.303092,ZeroDivisionError,division by zero,
2026-03-24T12:22:34.990228,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:22:56.529778,ZeroDivisionError,division by zero,
2026-03-24T12:23:00.248030,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:23:41.420255,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:23:58.191337,ZeroDivisionError,division by zero,
2026-03-24T12:24:06.686911,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:24:47.804457,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:24:59.814792,ZeroDivisionError,division by zero,
2026-03-24T12:25:13.030255,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:25:54.211346,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:26:01.511642,ZeroDivisionError,division by zero,
2026-03-24T12:26:19.467223,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:27:00.617502,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:27:02.575442,ZeroDivisionError,division by zero,
2026-03-24T12:27:25.816032,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:28:04.213520,ZeroDivisionError,division by zero,
2026-03-24T12:28:07.340008,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:28:32.167536,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:29:05.579249,ZeroDivisionError,division by zero,
2026-03-24T12:29:13.740972,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:29:40.821600,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:30:06.884346,ZeroDivisionError,division by zero,
2026-03-24T12:30:23.460487,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:30:48.141721,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:31:08.405989,ZeroDivisionError,division by zero,
2026-03-24T12:31:30.084537,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:31:54.893676,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:32:09.662565,ZeroDivisionError,division by zero,
2026-03-24T12:32:37.350658,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:33:02.767677,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:33:11.338626,ZeroDivisionError,division by zero,
2026-03-24T12:33:43.702596,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:34:09.409792,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:34:12.672991,ZeroDivisionError,division by zero,
2026-03-24T12:34:50.027737,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:35:13.864314,ZeroDivisionError,division by zero,
2026-03-24T12:35:15.785474,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:35:56.380317,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:36:15.518934,ZeroDivisionError,division by zero,
2026-03-24T12:36:22.302392,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:37:02.869574,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:37:16.700337,ZeroDivisionError,division by zero,
2026-03-24T12:37:28.668303,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:38:09.365387,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:38:17.883613,ZeroDivisionError,division by zero,
2026-03-24T12:38:35.048058,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:39:15.825504,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:39:19.674963,ZeroDivisionError,division by zero,
2026-03-24T12:39:41.544687,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:40:21.265475,ZeroDivisionError,division by zero,
2026-03-24T12:40:22.197108,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:40:47.861424,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:41:22.622716,ZeroDivisionError,division by zero,
2026-03-24T12:41:28.566167,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:41:54.193310,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:42:23.835628,ZeroDivisionError,division by zero,
2026-03-24T12:42:34.900002,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:43:00.551034,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:43:25.389827,ZeroDivisionError,division by zero,
2026-03-24T12:43:42.703751,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:44:06.932569,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:44:26.627307,ZeroDivisionError,division by zero,
2026-03-24T12:44:49.044381,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:45:13.286953,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:45:28.125579,ZeroDivisionError,division by zero,
2026-03-24T12:45:56.245057,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:46:19.666867,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:46:29.333701,ZeroDivisionError,division by zero,
2026-03-24T12:47:02.653543,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:47:25.988928,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:47:30.422025,ZeroDivisionError,division by zero,
2026-03-24T12:48:09.033916,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:48:31.596683,ZeroDivisionError,division by zero,
2026-03-24T12:48:32.407053,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:49:15.509561,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:49:32.815916,ZeroDivisionError,division by zero,
2026-03-24T12:49:38.769095,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:50:21.880265,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:50:34.079358,ZeroDivisionError,division by zero,
2026-03-24T12:50:45.145647,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:51:28.531978,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:51:35.290354,ZeroDivisionError,division by zero,
2026-03-24T12:51:51.719493,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:52:34.896369,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:52:36.565289,ZeroDivisionError,division by zero,
2026-03-24T12:52:58.072561,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:53:38.214521,ZeroDivisionError,division by zero,
2026-03-24T12:53:41.715684,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:54:04.425045,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:54:39.373741,ZeroDivisionError,division by zero,
2026-03-24T12:54:48.688328,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:55:10.802578,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:02:15.429783,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:02:17.094017,ZeroDivisionError,division by zero,
2026-03-24T13:02:31.606492,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:03:18.202747,ZeroDivisionError,division by zero,
2026-03-24T13:03:21.795996,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:03:38.028526,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:04:20.182433,ZeroDivisionError,division by zero,
2026-03-24T13:04:28.170844,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:04:44.395159,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:05:21.316877,ZeroDivisionError,division by zero,
2026-03-24T13:05:34.618812,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:05:51.785614,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:06:23.322449,ZeroDivisionError,division by zero,
2026-03-24T13:06:41.006911,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:06:58.255297,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:07:24.708722,ZeroDivisionError,division by zero,
2026-03-24T13:07:47.322519,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:08:04.971871,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:08:26.395226,ZeroDivisionError,division by zero,
2026-03-24T13:08:53.693975,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:09:13.208684,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:09:28.099085,ZeroDivisionError,division by zero,
2026-03-24T13:10:00.144802,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:10:19.626482,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:10:29.920749,ZeroDivisionError,division by zero,
2026-03-24T13:11:06.641011,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:11:25.976801,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:11:31.374258,ZeroDivisionError,division by zero,
2026-03-24T13:12:13.039871,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T13:12:32.374651,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T13:12:33.506337,ZeroDivisionError,division by zero,
2026-03-24T17:39:24.203934,TimeoutError,,
2026-03-24T17:39:24.204534,TimeoutError,,
2026-03-24T17:39:46.369222,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:40:25.488709,ZeroDivisionError,division by zero,
2026-03-24T17:40:30.656094,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:40:52.725516,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:41:26.690137,ZeroDivisionError,division by zero,
2026-03-24T17:41:37.010276,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:41:59.030954,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:42:28.130072,ZeroDivisionError,division by zero,
2026-03-24T17:42:43.732870,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:43:08.842868,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:44:34.324174,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:44:35.821533,ZeroDivisionError,division by zero,
2026-03-24T17:44:56.340421,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:45:36.981532,ZeroDivisionError,division by zero,
2026-03-24T17:45:40.670520,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:46:02.763722,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:46:38.272396,ZeroDivisionError,division by zero,
2026-03-24T17:46:48.131442,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:47:09.260304,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:47:39.635306,ZeroDivisionError,division by zero,
2026-03-24T17:47:54.488568,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:48:15.929040,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:51:58.627974,ZeroDivisionError,division by zero,
2026-03-24T17:52:03.626291,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:52:16.835538,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:52:59.984696,ZeroDivisionError,division by zero,
2026-03-24T17:53:09.965032,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:53:23.193323,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:54:01.294483,ZeroDivisionError,division by zero,
2026-03-24T17:54:16.347882,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T17:54:29.565967,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T17:55:02.830869,ZeroDivisionError,division by zero,
2026-03-24T18:12:09.498445,ZeroDivisionError,division by zero,
2026-03-24T18:12:15.587172,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:12:29.076613,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:13:11.391833,ZeroDivisionError,division by zero,
2026-03-24T18:13:21.790946,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:13:35.307572,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:14:12.662592,ZeroDivisionError,division by zero,
2026-03-24T18:14:28.009443,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:14:41.557588,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:15:13.943107,ZeroDivisionError,division by zero,
2026-03-24T18:15:34.230306,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:15:47.973054,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:16:15.119467,ZeroDivisionError,division by zero,
2026-03-24T18:16:40.524600,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:16:54.212529,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:17:16.503664,ZeroDivisionError,division by zero,
2026-03-24T18:17:46.772158,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:18:00.476763,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:18:17.957566,ZeroDivisionError,division by zero,
2026-03-24T18:18:53.516771,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:19:07.013445,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:19:19.682398,ZeroDivisionError,division by zero,
2026-03-24T18:19:59.780104,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:20:13.304929,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:20:20.977754,ZeroDivisionError,division by zero,
2026-03-24T18:21:06.096181,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:21:20.913107,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:21:22.459337,ZeroDivisionError,division by zero,
2026-03-24T18:22:12.393945,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:22:23.594596,ZeroDivisionError,division by zero,
2026-03-24T18:22:27.143188,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:23:18.692583,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:23:24.791282,ZeroDivisionError,division by zero,
2026-03-24T18:23:33.377325,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:24:24.909116,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:24:26.883270,ZeroDivisionError,division by zero,
2026-03-24T18:24:40.156379,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:25:28.159678,ZeroDivisionError,division by zero,
2026-03-24T18:25:31.130108,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T18:25:46.394611,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T18:26:29.496564,ZeroDivisionError,division by zero,
